list,order,item,audio,condition,prime,prime_1,noun_repetition,prime_description,target_description,display_1,boxed_object,target_noun,target_colour,target_pattern,prime_noun,prime_colour,prime_pattern,filler_prime_category,filler_target_category,target_object,distractor5_sameNoun_differentColor_differentPatternFromTarget,non_repeated_prime,distractor1_sameNoun_sameColor_differentPatternFromTarget,distractor2_sameNoun_differentColor_samePatternAsTarget,distractor3_differentNoun_sameColor_patternAsTarget,distractor4_differentNoun_sameColor_differentPatternFromTarget,repeated_prime,targetPosition,distractor5,nonRepeatedPrime,distractor1,distractor2,distractor3,distractor4,repeatedPrime,expTrials,box_position,targetImg,boxPos,pos1,pos2,pos3,pos4,pos5,pos6,pos7,pos8
2,56,f26,f26.mp3,9,9,9,repeated,The bird facing left,large bird,9,,bird,,,bird,,,directionoun category,size,birdBlueLargeRight,,,,,,,,,,,,,,,,N,3,2,3,truckBlueLargeRight.png,birdBlueSmallLeft.png,birdBlueLargeRight.png,truckGreenLargeLeft.png,truckBlueLargeRight.png,birdBlueSmall.png,truckGreenLargeLeft.png,truckGreenLargeLeft.png
3,56,f26,f26.mp3,9,9,9,repeated,The bird facing left,large bird,9,,bird,,,bird,,,directionoun category,size,birdBlueLargeRight,,,,,,,,,,,,,,,,N,3,2,3,truckBlueLargeRight.png,birdBlueSmallLeft.png,birdBlueLargeRight.png,truckGreenLargeLeft.png,truckBlueLargeRight.png,birdBlueSmall.png,truckGreenLargeLeft.png,truckGreenLargeLeft.png
4,56,f26,f26.mp3,9,9,9,repeated,The bird facing left,large bird,9,,bird,,,bird,,,directionoun category,size,birdBlueLargeRight,,,,,,,,,,,,,,,,N,3,2,3,truckBlueLargeRight.png,birdBlueSmallLeft.png,birdBlueLargeRight.png,truckGreenLargeLeft.png,truckBlueLargeRight.png,birdBlueSmall.png,truckGreenLargeLeft.png,truckGreenLargeLeft.png
1,57,24,24_CP_non.mp3,1,CP,1,non-repeated,The red striped iron,green chequered shoe,0,shoe_green_chequered,shoe,green,chequered,iron,red,striped,,,shoe_green_chequered,shoe_red_striped,iron_red_striped,shoe_green_striped,shoe_red_chequered,iron_green_chequered,iron_green_striped,iron_red_chequered,5,2,6,3,7,4,8,1,Y,5,6,5,iron_red_chequered.png,shoe_red_striped.png,shoe_green_striped.png,iron_green_chequered.png,shoe_green_chequered.png,iron_red_striped.png,shoe_red_chequered.png,iron_green_striped.png
2,57,24,24_CP_rep.mp3,3,CP,1,repeated,The red chequered iron,green chequered shoe,1,shoe_green_chequered,shoe,green,chequered,iron,red,striped,,,shoe_green_chequered,shoe_red_striped,iron_red_striped,shoe_green_striped,shoe_red_chequered,iron_green_chequered,iron_green_striped,iron_red_chequered,5,2,6,3,7,4,8,1,Y,5,1,5,iron_red_chequered.png,shoe_red_striped.png,shoe_green_striped.png,iron_green_chequered.png,shoe_green_chequered.png,iron_red_striped.png,shoe_red_chequered.png,iron_green_striped.png
3,57,24,24_PC_non.mp3,2,PC,0,non-repeated,The striped red iron,green chequered shoe,0,shoe_green_chequered,shoe,green,chequered,iron,red,striped,,,shoe_green_chequered,shoe_red_striped,iron_red_striped,shoe_green_striped,shoe_red_chequered,iron_green_chequered,iron_green_striped,iron_red_chequered,5,2,6,3,7,4,8,1,Y,5,6,5,iron_red_chequered.png,shoe_red_striped.png,shoe_green_striped.png,iron_green_chequered.png,shoe_green_chequered.png,iron_red_striped.png,shoe_red_chequered.png,iron_green_striped.png
4,57,24,24_PC_rep.mp3,4,PC,0,repeated,The chequered red iron,green chequered shoe,1,shoe_green_chequered,shoe,green,chequered,iron,red,striped,,,shoe_green_chequered,shoe_red_striped,iron_red_striped,shoe_green_striped,shoe_red_chequered,iron_green_chequered,iron_green_striped,iron_red_chequered,5,2,6,3,7,4,8,1,Y,5,1,5,iron_red_chequered.png,shoe_red_striped.png,shoe_green_striped.png,iron_green_chequered.png,shoe_green_chequered.png,iron_red_striped.png,shoe_red_chequered.png,iron_green_striped.png
1,58,f41,f41.mp3,9,9,9,non-repeated,The small spanner,cat,9,,spanner,,,spanner,,,noun category,noun category,catBlueRight,,,,,,,,,,,,,,,,N,3,6,3,ratGreySmallRight.png,spannerBlueLargeRight.png,catBlueRight.png,ratGreyLargeRight.png,ratGreyLargeRight.png,spannerBlueSmallRight.png,ratGreySmallLeft.png,butterflyBlueLarge.png
2,58,f41,f41.mp3,9,9,9,non-repeated,The small spanner,cat,9,,spanner,,,spanner,,,noun category,noun category,catBlueRight,,,,,,,,,,,,,,,,N,3,6,3,ratGreySmallRight.png,spannerBlueLargeRight.png,catBlueRight.png,ratGreyLargeRight.png,ratGreyLargeRight.png,spannerBlueSmallRight.png,ratGreySmallLeft.png,butterflyBlueLarge.png
3,58,f41,f41.mp3,9,9,9,non-repeated,The small spanner,cat,9,,spanner,,,spanner,,,noun category,noun category,catBlueRight,,,,,,,,,,,,,,,,N,3,6,3,ratGreySmallRight.png,spannerBlueLargeRight.png,catBlueRight.png,ratGreyLargeRight.png,ratGreyLargeRight.png,spannerBlueSmallRight.png,ratGreySmallLeft.png,butterflyBlueLarge.png
