list,order,item,audio,condition,prime,prime_1,noun_repetition,prime_description,target_description,display_1,boxed_object,target_noun,target_colour,target_pattern,prime_noun,prime_colour,prime_pattern,filler_prime_category,filler_target_category,target_object,repeated_prime,non_repeated_prime,distractor1_sameNoun_sameColor_differentPatternFromTarget,distractor2_sameNoun_differentColor_samePatternAsTarget,distractor3_differentNoun_sameColor_patternAsTarget,distractor4_differentNoun_sameColor_differentPatternFromTarget,distractor5_differentNoun_differentColor_samePatternAsTarget,targetPosition,repeatedPrime,nonRepeatedPrime,distractor1,distractor2,distractor3,distractor4,distractor5,expTrials,box_position,targetImg,boxPos,pos1,pos2,pos3,pos4,pos5,pos6,pos7,pos8
4,13,6,06_CP_rep.mp3,3,CP,1,repeated,The green chequered glass,red spotted glass,1,glass_red_spotted,glass,red,spotted,glass,green,chequered,,,glass_red_spotted,glass_green_chequered,skirt_green_chequered,glass_red_chequered,glass_green_spotted,skirt_red_spotted,skirt_red_chequered,skirt_green_spotted,3,1,8,6,2,7,4,5,Y,3,1,3,glass_green_chequered.png,glass_green_spotted.png,glass_red_spotted.png,skirt_red_chequered.png,skirt_green_spotted.png,glass_red_chequered.png,skirt_red_spotted.png,skirt_green_chequered.png
1,14,f09,f09.mp3,9,9,9,repeated,The large bloom,bloom upside down,9,,bloom,,,bloom,,,size,direction,bloomSmallUpsideDown,,,,,,,,,,,,,,,,N,2,4,2,nailLeft.png,bloomSmallUpsideDown.png,nailLeft.png,bloomLarge.png,nailLeft.png,nailRightSmall.png,nailRightSmall.png,bloomSmall.png
2,14,f09,f09.mp3,9,9,9,repeated,The large bloom,bloom upside down,9,,bloom,,,bloom,,,size,direction,bloomSmallUpsideDown,,,,,,,,,,,,,,,,N,2,4,2,nailLeft.png,bloomSmallUpsideDown.png,nailLeft.png,bloomLarge.png,nailLeft.png,nailRightSmall.png,nailRightSmall.png,bloomSmall.png
3,14,f09,f09.mp3,9,9,9,repeated,The large bloom,bloom upside down,9,,bloom,,,bloom,,,size,direction,bloomSmallUpsideDown,,,,,,,,,,,,,,,,N,2,4,2,nailLeft.png,bloomSmallUpsideDown.png,nailLeft.png,bloomLarge.png,nailLeft.png,nailRightSmall.png,nailRightSmall.png,bloomSmall.png
4,14,f09,f09.mp3,9,9,9,repeated,The large bloom,bloom upside down,9,,bloom,,,bloom,,,size,direction,bloomSmallUpsideDown,,,,,,,,,,,,,,,,N,2,4,2,nailLeft.png,bloomSmallUpsideDown.png,nailLeft.png,bloomLarge.png,nailLeft.png,nailRightSmall.png,nailRightSmall.png,bloomSmall.png
1,15,7,07_PC_rep.mp3,4,PC,0,repeated,The spotty blue trousers,green striped trousers,1,trousers_green_striped,trousers,green,striped,trousers,blue,spotted,,,trousers_green_striped,trousers_blue_spotted,fence_blue_spotted,trousers_green_spotted,trousers_blue_striped,fence_green_striped,fence_green_spotted,fence_blue_striped,6,5,4,3,7,8,1,2,Y,6,5,6,fence_green_spotted.png,fence_blue_striped.png,trousers_green_spotted.png,fence_blue_spotted.png,trousers_blue_spotted.png,trousers_green_striped.png,trousers_blue_striped.png,fence_green_striped.png
2,15,7,07_CP_non.mp3,1,CP,1,non-repeated,The blue spotty fence,green striped trousers,0,trousers_green_striped,trousers,green,striped,fence,blue,spotted,,,trousers_green_striped,trousers_blue_spotted,fence_blue_spotted,trousers_green_spotted,trousers_blue_striped,fence_green_striped,fence_green_spotted,fence_blue_striped,6,5,4,3,7,8,1,2,Y,6,4,6,fence_green_spotted.png,fence_blue_striped.png,trousers_green_spotted.png,fence_blue_spotted.png,trousers_blue_spotted.png,trousers_green_striped.png,trousers_blue_striped.png,fence_green_striped.png
3,15,7,07_CP_rep.mp3,3,CP,1,repeated,The blue spotty trousers,green striped trousers,1,trousers_green_striped,trousers,green,striped,trousers,blue,spotted,,,trousers_green_striped,trousers_blue_spotted,fence_blue_spotted,trousers_green_spotted,trousers_blue_striped,fence_green_striped,fence_green_spotted,fence_blue_striped,6,5,4,3,7,8,1,2,Y,6,5,6,fence_green_spotted.png,fence_blue_striped.png,trousers_green_spotted.png,fence_blue_spotted.png,trousers_blue_spotted.png,trousers_green_striped.png,trousers_blue_striped.png,fence_green_striped.png
4,15,7,07_PC_non.mp3,2,PC,0,non-repeated,The spotty blue fence,green striped trousers,0,trousers_green_striped,trousers,green,striped,fence,blue,spotted,,,trousers_green_striped,trousers_blue_spotted,fence_blue_spotted,trousers_green_spotted,trousers_blue_striped,fence_green_striped,fence_green_spotted,fence_blue_striped,6,5,4,3,7,8,1,2,Y,6,4,6,fence_green_spotted.png,fence_blue_striped.png,trousers_green_spotted.png,fence_blue_spotted.png,trousers_blue_spotted.png,trousers_green_striped.png,trousers_blue_striped.png,fence_green_striped.png
1,16,f46,f46.mp3,9,9,9,non-repeated,The turtle,donkey,9,,turtle,,,turtle,,,noun category,noun category,donkeyLargeRight,,,,,,,,,,,,,,,,N,8,4,8,moonBlueLargeLeft.png,moonBlueLargeLeft.png,moonRedLargeRight.png,turtleGreenLargeRight.png,moonBlueLargeLeft.png,moonRedLargeRight.png,moonRedLargeRight.png,donkeyLargeRight.png
2,16,f46,f46.mp3,9,9,9,non-repeated,The turtle,donkey,9,,turtle,,,turtle,,,noun category,noun category,donkeyLargeRight,,,,,,,,,,,,,,,,N,8,4,8,moonBlueLargeLeft.png,moonBlueLargeLeft.png,moonRedLargeRight.png,turtleGreenLargeRight.png,moonBlueLargeLeft.png,moonRedLargeRight.png,moonRedLargeRight.png,donkeyLargeRight.png
3,16,f46,f46.mp3,9,9,9,non-repeated,The turtle,donkey,9,,turtle,,,turtle,,,noun category,noun category,donkeyLargeRight,,,,,,,,,,,,,,,,N,8,4,8,moonBlueLargeLeft.png,moonBlueLargeLeft.png,moonRedLargeRight.png,turtleGreenLargeRight.png,moonBlueLargeLeft.png,moonRedLargeRight.png,moonRedLargeRight.png,donkeyLargeRight.png
4,16,f46,f46.mp3,9,9,9,non-repeated,The turtle,donkey,9,,turtle,,,turtle,,,noun category,noun category,donkeyLargeRight,,,,,,,,,,,,,,,,N,8,4,8,moonBlueLargeLeft.png,moonBlueLargeLeft.png,moonRedLargeRight.png,turtleGreenLargeRight.png,moonBlueLargeLeft.png,moonRedLargeRight.png,moonRedLargeRight.png,donkeyLargeRight.png
1,17,8,08_CP_rep.mp3,3,CP,1,repeated,The blue chequered hat,red spotted hat,1,hat_red_spotted,hat,red,spotted,hat,blue,chequered,,,hat_red_spotted,hat_blue_chequered,bell_blue_chequered,hat_red_chequered,hat_blue_spotted,bell_red_spotted,bell_red_chequered,bell_blue_spotted,2,3,4,7,5,8,1,6,Y,2,3,2,bell_red_chequered.png,hat_red_spotted.png,hat_blue_chequered.png,bell_blue_chequered.png,hat_blue_spotted.png,bell_blue_spotted.png,hat_red_chequered.png,bell_red_spotted.png
2,17,8,08_PC_non.mp3,2,PC,0,non-repeated,The chequered blue bell,red spotted hat,0,hat_red_spotted,hat,red,spotted,bell,blue,chequered,,,hat_red_spotted,hat_blue_chequered,bell_blue_chequered,hat_red_chequered,hat_blue_spotted,bell_red_spotted,bell_red_chequered,bell_blue_spotted,2,3,4,7,5,8,1,6,Y,2,4,2,bell_red_chequered.png,hat_red_spotted.png,hat_blue_chequered.png,bell_blue_chequered.png,hat_blue_spotted.png,bell_blue_spotted.png,hat_red_chequered.png,bell_red_spotted.png
3,17,8,08_PC_rep.mp3,4,PC,0,repeated,The chequered blue hat,red spotted hat,1,hat_red_spotted,hat,red,spotted,hat,blue,chequered,,,hat_red_spotted,hat_blue_chequered,bell_blue_chequered,hat_red_chequered,hat_blue_spotted,bell_red_spotted,bell_red_chequered,bell_blue_spotted,2,3,4,7,5,8,1,6,Y,2,3,2,bell_red_chequered.png,hat_red_spotted.png,hat_blue_chequered.png,bell_blue_chequered.png,hat_blue_spotted.png,bell_blue_spotted.png,hat_red_chequered.png,bell_red_spotted.png
4,17,8,08_CP_non.mp3,1,CP,1,non-repeated,The blue chequered bell,red spotted hat,0,hat_red_spotted,hat,red,spotted,bell,blue,chequered,,,hat_red_spotted,hat_blue_chequered,bell_blue_chequered,hat_red_chequered,hat_blue_spotted,bell_red_spotted,bell_red_chequered,bell_blue_spotted,2,3,4,7,5,8,1,6,Y,2,4,2,bell_red_chequered.png,hat_red_spotted.png,hat_blue_chequered.png,bell_blue_chequered.png,hat_blue_spotted.png,bell_blue_spotted.png,hat_red_chequered.png,bell_red_spotted.png
1,18,f07,f07.mp3,9,9,9,repeated,The bicycle facing right,large bicycle,9,,bicycle,,,bicycle,,,direction,size,bicycleRedLarge,,,,,,,,,,,,,,,,N,7,8,7,cupBlueLarge.png,anchorBlueSmall.png,cupBlueLarge.png,bicycleRedSmall.png,cupBlueLarge.png,anchorBlueSmall.png,bicycleRedLarge.png,bicycleRedSmallRight.png
2,18,f07,f07.mp3,9,9,9,repeated,The bicycle facing right,large bicycle,9,,bicycle,,,bicycle,,,direction,size,bicycleRedLarge,,,,,,,,,,,,,,,,N,7,8,7,cupBlueLarge.png,anchorBlueSmall.png,cupBlueLarge.png,bicycleRedSmall.png,cupBlueLarge.png,anchorBlueSmall.png,bicycleRedLarge.png,bicycleRedSmallRight.png
3,18,f07,f07.mp3,9,9,9,repeated,The bicycle facing right,large bicycle,9,,bicycle,,,bicycle,,,direction,size,bicycleRedLarge,,,,,,,,,,,,,,,,N,7,8,7,cupBlueLarge.png,anchorBlueSmall.png,cupBlueLarge.png,bicycleRedSmall.png,cupBlueLarge.png,anchorBlueSmall.png,bicycleRedLarge.png,bicycleRedSmallRight.png
4,18,f07,f07.mp3,9,9,9,repeated,The bicycle facing right,large bicycle,9,,bicycle,,,bicycle,,,direction,size,bicycleRedLarge,,,,,,,,,,,,,,,,N,7,8,7,cupBlueLarge.png,anchorBlueSmall.png,cupBlueLarge.png,bicycleRedSmall.png,cupBlueLarge.png,anchorBlueSmall.png,bicycleRedLarge.png,bicycleRedSmallRight.png
1,19,f39,f39.mp3,9,9,9,non-repeated,The snake,small helmet,9,,snake,,,snake,,,noun category,noun category,helmetRedSmall,,,,,,,,,,,,,,,,N,8,1,8,snakeRedLargeRight.png,candleGreyLarge.png,candleBlueLarge.png,helmetRedLarge.png,candleGreyLarge.png,candleBlueLarge.png,candleGreyLarge.png,helmetRedSmall.png
2,19,f39,f39.mp3,9,9,9,non-repeated,The snake,small helmet,9,,snake,,,snake,,,noun category,noun category,helmetRedSmall,,,,,,,,,,,,,,,,N,8,1,8,snakeRedLargeRight.png,candleGreyLarge.png,candleBlueLarge.png,helmetRedLarge.png,candleGreyLarge.png,candleBlueLarge.png,candleGreyLarge.png,helmetRedSmall.png
3,19,f39,f39.mp3,9,9,9,non-repeated,The snake,small helmet,9,,snake,,,snake,,,noun category,noun category,helmetRedSmall,,,,,,,,,,,,,,,,N,8,1,8,snakeRedLargeRight.png,candleGreyLarge.png,candleBlueLarge.png,helmetRedLarge.png,candleGreyLarge.png,candleBlueLarge.png,candleGreyLarge.png,helmetRedSmall.png
4,19,f39,f39.mp3,9,9,9,non-repeated,The snake,small helmet,9,,snake,,,snake,,,noun category,noun category,helmetRedSmall,,,,,,,,,,,,,,,,N,8,1,8,snakeRedLargeRight.png,candleGreyLarge.png,candleBlueLarge.png,helmetRedLarge.png,candleGreyLarge.png,candleBlueLarge.png,candleGreyLarge.png,helmetRedSmall.png
1,20,9,09_PC_rep.mp3,4,PC,0,repeated,The stripy red knife,blue chequered knife,1,knife_blue_chequered,knife,blue,chequered,knife,red,striped,,,knife_blue_chequered,knife_red_striped,car_red_striped,knife_blue_striped,knife_red_chequered,car_blue_chequered,car_blue_striped,car_red_chequered,4,7,1,2,8,6,3,5,Y,4,7,4,car_red_striped.png,knife_blue_striped.png,car_blue_striped.png,knife_blue_chequered.png,car_red_chequered.png,car_blue_chequered.png,knife_red_striped.png,knife_red_chequered.png
2,20,9,09_CP_non.mp3,1,CP,1,non-repeated,The red stripy car,blue chequered knife,0,knife_blue_chequered,knife,blue,chequered,car,red,striped,,,knife_blue_chequered,knife_red_striped,car_red_striped,knife_blue_striped,knife_red_chequered,car_blue_chequered,car_blue_striped,car_red_chequered,4,7,1,2,8,6,3,5,Y,4,1,4,car_red_striped.png,knife_blue_striped.png,car_blue_striped.png,knife_blue_chequered.png,car_red_chequered.png,car_blue_chequered.png,knife_red_striped.png,knife_red_chequered.png
