list,order,item,audio,condition,prime,prime_1,noun_repetition,prime_description,target_description,display_1,boxed_object,target_noun,target_colour,target_pattern,prime_noun,prime_colour,prime_pattern,filler_prime_category,filler_target_category,target_object,repeated_prime,non_repeated_prime,distractor1_sameNoun_sameColor_differentPatternFromTarget,distractor2_sameNoun_differentColor_samePatternAsTarget,distractor3_differentNoun_sameColor_patternAsTarget,distractor4_differentNoun_sameColor_differentPatternFromTarget,distractor5_differentNoun_differentColor_samePatternAsTarget,targetPosition,repeatedPrime,nonRepeatedPrime,distractor1,distractor2,distractor3,distractor4,distractor5,expTrials,box_position,targetImg,boxPos,pos1,pos2,pos3,pos4,pos5,pos6,pos7,pos8
1,23,10,10_CP_non.mp3,1,CP,1,non-repeated,The blue chequered couch,green striped square,0,square_green_striped,square,green,striped,couch,blue,chequered,,,square_green_striped,square_blue_chequered,couch_blue_chequered,square_green_chequered,square_blue_striped,couch_green_striped,couch_green_chequered,couch_blue_striped,3,5,2,7,8,1,4,6,Y,3,2,3,couch_green_striped.png,couch_blue_chequered.png,square_green_striped.png,couch_green_chequered.png,square_blue_chequered.png,couch_blue_striped.png,square_green_chequered.png,square_blue_striped.png
2,23,10,10_CP_rep.mp3,3,CP,1,repeated,The blue chequered square,green striped square,1,square_green_striped,square,green,striped,square,blue,chequered,,,square_green_striped,square_blue_chequered,couch_blue_chequered,square_green_chequered,square_blue_striped,couch_green_striped,couch_green_chequered,couch_blue_striped,3,5,2,7,8,1,4,6,Y,3,5,3,couch_green_striped.png,couch_blue_chequered.png,square_green_striped.png,couch_green_chequered.png,square_blue_chequered.png,couch_blue_striped.png,square_green_chequered.png,square_blue_striped.png
3,23,10,10_PC_non.mp3,2,PC,0,non-repeated,The chequered blue couch,green striped square,0,square_green_striped,square,green,striped,couch,blue,chequered,,,square_green_striped,square_blue_chequered,couch_blue_chequered,square_green_chequered,square_blue_striped,couch_green_striped,couch_green_chequered,couch_blue_striped,3,5,2,7,8,1,4,6,Y,3,2,3,couch_green_striped.png,couch_blue_chequered.png,square_green_striped.png,couch_green_chequered.png,square_blue_chequered.png,couch_blue_striped.png,square_green_chequered.png,square_blue_striped.png
4,23,10,10_PC_rep.mp3,4,PC,0,repeated,The chequered blue square,green striped square,1,square_green_striped,square,green,striped,square,blue,chequered,,,square_green_striped,square_blue_chequered,couch_blue_chequered,square_green_chequered,square_blue_striped,couch_green_striped,couch_green_chequered,couch_blue_striped,3,5,2,7,8,1,4,6,Y,3,5,3,couch_green_striped.png,couch_blue_chequered.png,square_green_striped.png,couch_green_chequered.png,square_blue_chequered.png,couch_blue_striped.png,square_green_chequered.png,square_blue_striped.png
1,24,f12,f12.mp3,9,9,9,non-repeated,The candle,caterpillar,9,,caterpillar,,,candle,,,noun category,noun category,caterpillarGreenLarge,,,,,,,,,,,,,,,,N,5,3,5,frogSmallLeft.png,frogLargeLeft.png,candleGreenLarge.png,frogLargeLeft.png,caterpillarGreenLarge.png,frogSmallLeft.png,frogSmallLeft.png,frogSmallLeft.png
2,24,f12,f12.mp3,9,9,9,non-repeated,The candle,caterpillar,9,,caterpillar,,,candle,,,noun category,noun category,caterpillarGreenLarge,,,,,,,,,,,,,,,,N,5,3,5,frogSmallLeft.png,frogLargeLeft.png,candleGreenLarge.png,frogLargeLeft.png,caterpillarGreenLarge.png,frogSmallLeft.png,frogSmallLeft.png,frogSmallLeft.png
3,24,f12,f12.mp3,9,9,9,non-repeated,The candle,caterpillar,9,,caterpillar,,,candle,,,noun category,noun category,caterpillarGreenLarge,,,,,,,,,,,,,,,,N,5,3,5,frogSmallLeft.png,frogLargeLeft.png,candleGreenLarge.png,frogLargeLeft.png,caterpillarGreenLarge.png,frogSmallLeft.png,frogSmallLeft.png,frogSmallLeft.png
4,24,f12,f12.mp3,9,9,9,non-repeated,The candle,caterpillar,9,,caterpillar,,,candle,,,noun category,noun category,caterpillarGreenLarge,,,,,,,,,,,,,,,,N,5,3,5,frogSmallLeft.png,frogLargeLeft.png,candleGreenLarge.png,frogLargeLeft.png,caterpillarGreenLarge.png,frogSmallLeft.png,frogSmallLeft.png,frogSmallLeft.png
1,25,11,11_CP_rep.mp3,3,CP,1,repeated,The green stripy door,blue spotted door,1,door_blue_spotted,door,blue,spotted,door,green,striped,,,door_blue_spotted,door_green_striped,ball_green_striped,door_blue_striped,door_green_spotted,ball_blue_spotted,ball_blue_striped,ball_green_spotted,3,8,6,1,7,2,4,5,Y,3,8,3,door_blue_striped.png,ball_blue_spotted.png,door_blue_spotted.png,ball_blue_striped.png,ball_green_spotted.png,ball_green_striped.png,door_green_spotted.png,door_green_striped.png
2,25,11,11_PC_non.mp3,2,PC,0,non-repeated,The stripy green ball,blue spotted door,0,door_blue_spotted,door,blue,spotted,ball,green,striped,,,door_blue_spotted,door_green_striped,ball_green_striped,door_blue_striped,door_green_spotted,ball_blue_spotted,ball_blue_striped,ball_green_spotted,3,8,6,1,7,2,4,5,Y,3,6,3,door_blue_striped.png,ball_blue_spotted.png,door_blue_spotted.png,ball_blue_striped.png,ball_green_spotted.png,ball_green_striped.png,door_green_spotted.png,door_green_striped.png
3,25,11,11_PC_rep.mp3,4,PC,0,repeated,The stripy green door,blue spotted door,1,door_blue_spotted,door,blue,spotted,door,green,striped,,,door_blue_spotted,door_green_striped,ball_green_striped,door_blue_striped,door_green_spotted,ball_blue_spotted,ball_blue_striped,ball_green_spotted,3,8,6,1,7,2,4,5,Y,3,8,3,door_blue_striped.png,ball_blue_spotted.png,door_blue_spotted.png,ball_blue_striped.png,ball_green_spotted.png,ball_green_striped.png,door_green_spotted.png,door_green_striped.png
4,25,11,11_CP_non.mp3,1,CP,1,non-repeated,The green stripy ball,blue spotted door,0,door_blue_spotted,door,blue,spotted,ball,green,striped,,,door_blue_spotted,door_green_striped,ball_green_striped,door_blue_striped,door_green_spotted,ball_blue_spotted,ball_blue_striped,ball_green_spotted,3,8,6,1,7,2,4,5,Y,3,6,3,door_blue_striped.png,ball_blue_spotted.png,door_blue_spotted.png,ball_blue_striped.png,ball_green_spotted.png,ball_green_striped.png,door_green_spotted.png,door_green_striped.png
1,26,f45,f45.mp3,9,9,9,non-repeated,The truck,small bloom,9,,truck,,,truck,,,noun category,size,bloomSmall,,,,,,,,,,,,,,,,N,5,7,5,cup_red_striped.png,bloomLarge.png,cup_red_striped.png,cup_red_chequered.png,bloomSmall.png,cup_red_striped.png,truckLargeRight.png,cup_red_chequered.png
2,26,f45,f45.mp3,9,9,9,non-repeated,The truck,small bloom,9,,truck,,,truck,,,noun category,size,bloomSmall,,,,,,,,,,,,,,,,N,5,7,5,cup_red_striped.png,bloomLarge.png,cup_red_striped.png,cup_red_chequered.png,bloomSmall.png,cup_red_striped.png,truckLargeRight.png,cup_red_chequered.png
3,26,f45,f45.mp3,9,9,9,non-repeated,The truck,small bloom,9,,truck,,,truck,,,noun category,size,bloomSmall,,,,,,,,,,,,,,,,N,5,7,5,cup_red_striped.png,bloomLarge.png,cup_red_striped.png,cup_red_chequered.png,bloomSmall.png,cup_red_striped.png,truckLargeRight.png,cup_red_chequered.png
4,26,f45,f45.mp3,9,9,9,non-repeated,The truck,small bloom,9,,truck,,,truck,,,noun category,size,bloomSmall,,,,,,,,,,,,,,,,N,5,7,5,cup_red_striped.png,bloomLarge.png,cup_red_striped.png,cup_red_chequered.png,bloomSmall.png,cup_red_striped.png,truckLargeRight.png,cup_red_chequered.png
