list,order,item,prime_description,condition,prime,prime_1,noun_repetition,display_1,turn_char,turn,box_position,boxed_object,target_noun,target_colour,target_pattern,prime_noun,prime_colour,prime_pattern,target_object,repeated_prime,non-repeated_prime,distractor_1_sameNoun_sameColor_differentPatternFromTarget,distractor2_sameNoun_differentColor_samePatternAsTarget,distractor3_differentNoun_sameColor_patternAsTarget,distractor4_differentNoun_sameColor_differentPatternFromTarget,distractor5_differentNoun_differentColor_samePatternAsTarget,targetPosition,repeatedPrime,non-repeatedPrime,distractor1,distractor2,distractor3,distractor4,distractor5,expTrials,targetImg,boxPos,pos1,pos2,pos3,pos4,pos5,pos6,pos7,pos8,audio
1,12,1,The chequered red circle,2,PC,0,non-repeated,0,participant,1,1,train_green_striped,train,green,striped,circle,red,chequered,train_green_striped,train_red_chequered,circle_red_chequered,train_green_chequered,train_red_striped,circle_green_striped,circle_green_chequered,circle_red_striped,1,2,4,3,5,6,8,7,Y,4,1,1.png,2.png,3.png,4.png,4.png,1.png,2.png,3.png,upper_three.mp3
1,16,2,The blue stripy bottle,1,CP,1,non-repeated,0,participant,1,2,lightbulb_red_chequered,lightbulb,red,chequered,bottle,blue,striped,lightbulb_red_chequered,lightbulb_blue_striped,bottle_blue_striped,lightbulb_red_striped,lightbulb_blue_chequered,bottle_red_chequered,bottle_red_striped,bottle_blue_chequered,2,8,7,5,3,4,1,6,Y,7,2,2.png,3.png,4.png,1.png,1.png,2.png,3.png,4.png,lower_four.mp3
1,20,3,The red chequered bowl,3,CP,1,repeated,1,participant,1,4,bowl_blue_striped,bowl,blue,striped,bowl,red,chequered,bowl_blue_striped,bowl_red_chequered,book_red_chequered,bowl_blue_chequered,bowl_red_striped,book_blue_striped,book_blue_chequered,book_red_striped,4,7,2,8,5,6,3,1,Y,7,4,3.png,4.png,1.png,2.png,2.png,3.png,4.png,1.png,lower_four.mp3
1,24,4,The chequered blue chair,4,PC,0,repeated,1,participant,1,2,chair_green_spotted,chair,green,spotted,chair,blue,chequered,chair_green_spotted,chair_blue_chequered,key_blue_chequered,chair_green_chequered,chair_blue_spotted,key_green_spotted,key_green_chequered,key_blue_spotted,2,4,3,1,6,5,8,7,Y,4,2,4.png,1.png,2.png,3.png,3.png,4.png,1.png,2.png,upper_three.mp3
